编码,项目名称,对应的手术名称,"计价
单位",价格（元）,,
31,(一)临床各系统诊疗,,,,,
310100001,脑电图,脑电图,"次或
小时",,,
310100001a,脑电图8导及以下,脑电图,"次或
小时",20,,
310100001b,脑电图8-16导(含),脑电图,"次或
小时",30,,
310100001c,脑电图16导以上,脑电图,"次或
小时",80,,
310100009,体感诱发电位,体感诱发电位[SEP],次或小时 、单肢,50,,
310100012,脑干听觉诱发电位,脑干听觉诱发电位,次,80,,
310100014,颅内压监测,颅内压监测,小时,15,,
310100016,腰椎穿刺术,腰椎穿刺术,次,120,,
310100017,侧脑室穿刺术,脑室穿刺术,次,700,,
310100018,枕大池穿刺术,小脑延髓池穿刺术,次,180,,
310100019,硬脑膜下穿刺术,脑室穿刺术,次,230,,
310100020,周围神经活检术,周围神经活组织检查,"每个
切口",350,,
310100023,肌电图,肌电图,"每条
肌肉",30,,
310100029,经皮穿刺三叉神经半月节射频温控热凝术,三叉神经半月节射频热凝术,次,1000,,
310100031,慢性小脑电刺激术,颅内神经刺激器植入术？,次,"医疗机构自主制定
试行价格",,
310100033,周围神经毁损术,周围神经破坏术（周围神经切断术）,次,230,,
310100033b,半月神经毁损术,颅神经破坏术？,次,2200,,
310100034,交感神经节毁损术,"经皮穿刺颈交感神经节毁损术，经皮穿刺
腰交感神经节毁损术",次,800,,
310300005,视野检查,视野检查,,,,
310300020,色觉检查,色觉检查,项,5,,
310300040,角膜地形图检查,角膜地形图检查,次（单眼）,80,,
310300041,角膜内皮镜检查,角膜内皮镜检查,次,80,,
310300053,眼底照相,眼底照相术,单侧,15,,
310300056,眼底检查,眼底检查,次,10,,
310300063,超声生物显微镜检查(UBM),超声生物显微镜检查[UBM检查],单侧,100,,
310300068,视觉诱发电位(VEP),视觉诱发电位[VEP],次,80,,
310300078,准分子激光屈光性角膜切削术(PRK),准分子激光屈光性角膜切削术[PRK],次,价格放开,,
310300079,准分子激光原位角膜磨镶术(LASIK),准分子激光角膜原位磨镶术[LASIK],次,价格放开,,
310300080,视网膜激光光凝术,视网膜病损激光凝固术,次,300,,
310300083,钬激光巩膜切除手术,巩膜切除术,次,待定,,
310300090,晶体囊截开术,晶状体前囊切开术（晶状体后囊膜激光切开术）,单侧,390,,
310300091,取结膜结石,结膜结石取出术,单侧,13,,
310300092,沙眼磨擦压挤术,沙眼摩擦挤压术,单侧,20,,
310300093,眼部脓肿切开引流术,睑板腺脓肿切开引流术,单侧,50,,
310300100,前房穿刺术,前房穿刺术,单侧,260,,
310300101,前房注气术,前房注气术,单侧,200,,
310300102,角膜异物剔除术,角膜切开异物去除术,单侧,39,,
310300105,泪小点扩张,泪点扩张术,单侧,13,,
310300106,泪道探通术,泪小管探通术,单侧,65,,
310401015,耳声发射检查,耳声发射,次,80,,
310401040,鼓膜穿刺术,鼓膜穿刺术,单侧,39,,
310401041,耵聍冲洗,耵聍冲洗术,单侧,26,,
310402001,鼻内镜检查,鼻镜检查,次,80,,
310402002,前鼻镜检查,鼻镜检查,次,5,,
310402003,长鼻镜检查,鼻镜检查,次,5,,
310402011,蝶窦穿刺活检术,鼻窦闭合性[内镜的][针吸]活组织检查,次,60,,
310402013,鼻腔取活检术,鼻咽活组织检查,次,39,,
310402014,上颌窦穿刺术,上颌窦穿刺抽吸灌洗,次,30,,
310402015,鼻窦冲洗,鼻窦穿剌冲洗术,次,30,,
310402016,鼻咽部活检术,鼻咽活组织检查,次,91,,
310402017,下鼻甲封闭术,鼻甲成形术,次,30,,
310402018,鼻腔粘连分离术,鼻粘连松解术,次,78,,
310402024,鼻异物取出,鼻腔切开异物取出术？,次,39,,
310403006,纤维鼻咽镜检查,纤维鼻咽镜检查,次,80,,
310403009,纤维喉镜检查,纤维喉镜检查,次,150,,
310403010,喉动态镜检查,喉镜检查,次,100,,
310403011,直达喉镜检查,喉镜检查,次,120,,
310403012,间接喉镜检查,喉镜检查,次,10,,
310403013,支撑喉镜检查,支撑喉镜检查,次,145,,
